problem, generation, min, mean, stdev, max
jp50, 40, 20, 106062.75, 112707.00, 6007.95, 128109.89
jp50, 41, 20, 107019.48, 114877.51, 5778.07, 128109.89
jp50, 42, 20, 108494.15, 117765.58, 4889.51, 128109.89
jp50, 43, 20, 113326.42, 119729.66, 3885.87, 128109.89
jp50, 44, 20, 114931.32, 120984.52, 3303.15, 128109.89
jp50, 45, 20, 116783.94, 122024.82, 2703.27, 128109.89
jp50, 46, 20, 118946.73, 123243.88, 2422.65, 133696.83
jp50, 47, 20, 119871.14, 123668.57, 2155.18, 133696.83
jp50, 48, 20, 121750.34, 124579.98, 2256.26, 133696.83
jp50, 49, 20, 122302.69, 125192.47, 2625.51, 134740.06
jp50, 50, 20, 123225.47, 125854.16, 2715.47, 134740.06
jp50, 51, 20, 123416.36, 126572.55, 2963.46, 134740.06
jp50, 52, 20, 124187.98, 127589.32, 3173.98, 135037.12
jp50, 53, 20, 124880.10, 128681.85, 3423.67, 135037.12
jp50, 54, 20, 125292.55, 129621.48, 3412.50, 135037.12
jp50, 55, 20, 126173.42, 131084.60, 3241.24, 136686.70
jp50, 56, 20, 126750.22, 131942.73, 2822.60, 136686.70
jp50, 57, 20, 127383.66, 132768.76, 2215.80, 136686.70
jp50, 58, 20, 129660.96, 133510.16, 1542.25, 136686.70
jp50, 59, 20, 132254.65, 134135.81, 882.29, 136686.70
jp50, 60, 20, 133362.30, 134553.11, 679.20, 136686.70
jp50, 61, 20, 133696.83, 134739.85, 617.32, 136686.70
jp50, 62, 20, 134123.37, 135004.22, 418.12, 136686.70
jp50, 63, 20, 134527.43, 135113.17, 365.08, 136686.70
jp50, 0, 21, -884142.20, -552956.93, 135374.13, -0.00
jp50, 1, 21, -790247.07, -528552.40, 118553.18, -0.00
jp50, 2, 21, -675585.26, -501375.21, 109105.66, -0.00
jp50, 3, 21, -625212.52, -476865.17, 100715.17, -0.00
jp50, 4, 21, -595031.36, -461004.81, 96042.75, -0.00
jp50, 5, 21, -590114.35, -454118.51, 94669.70, -0.00
jp50, 6, 21, -568129.19, -432850.66, 90903.68, -0.00
jp50, 7, 21, -540935.99, -406780.00, 95711.04, -0.00
jp50, 8, 21, -512375.22, -378167.75, 86745.11, -0.00
jp50, 9, 21, -489470.21, -365765.12, 82324.46, -0.00
jp50, 10, 21, -452041.53, -341907.25, 73990.27, -0.00
jp50, 11, 21, -419807.30, -321765.28, 65474.38, -0.00
jp50, 12, 21, -383770.21, -294516.16, 59671.84, -0.00
jp50, 13, 21, -347343.14, -280227.02, 60148.14, -0.00
jp50, 14, 21, -310864.74, -267497.34, 67122.72, -0.00
jp50, 15, 21, -302844.74, -254225.33, 76799.06, 20412.57
jp50, 16, 21, -290086.78, -241119.52, 84941.14, 20412.57
jp50, 17, 21, -287982.79, -218746.59, 96850.55, 20412.57
jp50, 18, 21, -280114.14, -195690.93, 109442.40, 42660.22
jp50, 19, 21, -278387.48, -169655.10, 115598.45, 42660.22
jp50, 20, 21, -269266.10, -126683.98, 118565.74, 69691.24
jp50, 21, 21, -254400.65, -72459.95, 100924.89, 69691.24
jp50, 22, 21, -194750.47, -16660.21, 52288.67, 71005.10
jp50, 23, 21, -27128.99, 9529.37, 20182.64, 71005.10
jp50, 24, 21, -3210.08, 17105.37, 20489.18, 71005.10
jp50, 25, 21, -0.00, 28645.56, 22504.45, 71005.10
jp50, 26, 21, 4891.37, 42795.44, 19633.20, 86575.38
jp50, 27, 21, 24999.23, 52165.61, 15316.43, 86575.38
jp50, 28, 21, 40283.53, 60082.61, 12034.41, 90642.93
jp50, 29, 21, 48081.80, 66501.52, 9037.26, 93756.78
jp50, 30, 21, 59271.02, 71253.31, 7606.72, 93756.78
jp50, 31, 21, 65814.60, 74460.36, 7464.67, 93756.78
jp50, 32, 21, 68652.39, 77247.77, 7451.90, 97961.25
jp50, 33, 21, 70869.98, 80005.20, 7428.12, 97961.25
jp50, 34, 21, 71589.21, 83369.95, 6549.23, 98736.96
jp50, 35, 21, 75722.21, 85605.91, 5505.31, 98736.96
jp50, 36, 21, 80331.90, 87904.33, 4552.21, 98736.96
jp50, 37, 21, 83689.12, 90069.77, 4172.65, 98736.96
jp50, 38, 21, 85907.14, 91952.35, 3633.30, 98736.96
jp50, 39, 21, 88669.05, 93787.41, 3037.08, 100590.26
jp50, 40, 21, 90334.39, 95132.96, 2466.95, 100590.26
jp50, 41, 21, 92945.53, 96234.39, 1972.72, 102367.43
jp50, 42, 21, 94401.32, 97366.48, 2351.28, 109490.49
jp50, 43, 21, 95406.39, 98154.46, 2675.86, 110049.66
jp50, 44, 21, 96146.40, 98924.66, 2956.59, 110049.66
jp50, 45, 21, 96687.01, 99374.75, 3069.31, 110049.66
jp50, 46, 21, 96935.64, 100384.00, 3454.73, 110991.73
jp50, 47, 21, 97562.45, 101470.23, 3736.16, 113081.99
jp50, 48, 21, 98360.68, 102999.35, 3955.99, 114749.72
jp50, 49, 21, 98817.57, 104230.76, 3665.25, 114749.72
jp50, 50, 21, 100519.72, 105945.89, 3507.31, 116019.34
jp50, 51, 21, 102484.40, 107606.42, 3365.11, 116343.30
jp50, 52, 21, 103945.85, 108762.17, 2982.82, 116343.30
jp50, 53, 21, 106073.12, 110217.38, 2465.94, 116574.39
jp50, 54, 21, 108101.27, 111377.42, 2155.72, 116574.39
jp50, 55, 21, 109372.71, 112019.61, 1965.60, 116574.39
jp50, 56, 21, 110049.66, 112936.86, 1897.76, 117779.60
jp50, 57, 21, 111388.44, 113959.65, 1793.56, 117779.60
jp50, 58, 21, 112027.83, 114654.13, 1711.35, 118373.84
jp50, 59, 21, 113018.69, 115305.88, 1557.11, 118373.84
jp50, 60, 21, 113393.20, 115922.34, 1376.31, 118373.84
jp50, 61, 21, 114749.72, 116679.73, 999.26, 118373.84
jp50, 62, 21, 115447.86, 117096.59, 799.57, 119253.26
jp50, 63, 21, 116019.34, 117432.12, 751.67, 119991.02
jp50, 64, 21, 116574.39, 117728.54, 752.12, 119991.02
jp50, 65, 21, 117155.85, 118008.60, 820.54, 119991.02
jp50, 66, 21, 117212.47, 118294.22, 887.47, 120425.08
jp50, 67, 21, 117377.86, 118542.69, 914.98, 120618.95
jp50, 68, 21, 117779.60, 118818.51, 908.56, 120792.07
jp50, 69, 21, 117779.60, 119213.26, 1001.00, 123826.22
jp50, 70, 21, 118373.84, 119647.99, 992.04, 123826.22
jp50, 71, 21, 118468.81, 120095.19, 1070.04, 123826.22
jp50, 72, 21, 119253.26, 120442.69, 1232.05, 126999.95
jp50, 73, 21, 119561.24, 120764.41, 1368.78, 126999.95
jp50, 74, 21, 119845.45, 121346.20, 1604.39, 126999.95
jp50, 75, 21, 119991.02, 121906.74, 1847.94, 129479.94
jp50, 76, 21, 119991.02, 122387.46, 1889.40, 129479.94
jp50, 77, 21, 120425.08, 123043.89, 2168.16, 132002.89
jp50, 78, 21, 120792.07, 123438.02, 2332.93, 132002.89
jp50, 79, 21, 121277.90, 124352.70, 2669.54, 134723.17
jp50, 80, 21, 121842.33, 124786.02, 2699.75, 134723.17
jp50, 81, 21, 122579.20, 125581.33, 2841.18, 134723.17
jp50, 82, 21, 122881.63, 126090.91, 2854.22, 134723.17
jp50, 83, 21, 123706.14, 127316.19, 3129.14, 135558.51
jp50, 84, 21, 124622.92, 128799.92, 2947.11, 135558.51
jp50, 85, 21, 125772.90, 129989.20, 2614.08, 135558.51
jp50, 86, 21, 127411.60, 131007.18, 2111.91, 135558.51
jp50, 87, 21, 128876.91, 132096.78, 1582.09, 135558.51
jp50, 88, 21, 130788.46, 132934.60, 1163.40, 135601.10
jp50, 89, 21, 131829.21, 133296.13, 1116.11, 135705.09
jp50, 90, 21, 132002.89, 133638.36, 1057.18, 135705.09
jp50, 91, 21, 132310.41, 134046.60, 905.39, 135705.09
jp50, 92, 21, 133181.88, 134459.35, 757.85, 135705.09
jp50, 93, 21, 133618.34, 134729.33, 674.83, 136542.98
jp50, 94, 21, 133997.99, 134958.86, 618.03, 136542.98
jp50, 95, 21, 134436.54, 135238.67, 539.15, 136542.98
jp50, 96, 21, 134454.86, 135391.41, 507.42, 136542.98
jp50, 97, 21, 134612.21, 135594.31, 408.77, 136542.98
jp50, 98, 21, 135084.85, 135710.83, 381.03, 137200.16
jp50, 0, 22, -925219.74, -555323.67, 123521.94, -0.00
jp50, 1, 22, -682666.47, -515256.29, 101688.98, -0.00
jp50, 2, 22, -642583.14, -498038.61, 97288.31, -0.00
jp50, 3, 22, -611309.79, -473714.44, 92961.54, -0.00
jp50, 4, 22, -583437.58, -454255.21, 91486.15, -0.00
jp50, 5, 22, -568953.55, -423932.85, 102199.13, -0.00
jp50, 6, 22, -538957.18, -397041.70, 111273.58, -0.00
jp50, 7, 22, -507507.61, -366496.00, 114930.92, -0.00
jp50, 8, 22, -483102.35, -344101.92, 117660.66, -0.00
jp50, 9, 22, -462937.98, -317757.98, 121163.45, -0.00
jp50, 10, 22, -425437.99, -284568.72, 124752.56, 16401.79
jp50, 11, 22, -365365.38, -250354.37, 135063.26, 84620.12
jp50, 12, 22, -349594.15, -193315.61, 154668.51, 84620.12
jp50, 13, 22, -320103.59, -110743.27, 149917.60, 84620.12
jp50, 14, 22, -274994.61, -15676.78, 93999.68, 84620.12
jp50, 15, 22, -18908.87, 36130.03, 34658.92, 84620.12
jp50, 16, 22, -0.00, 48560.28, 29908.12, 84620.12
jp50, 17, 22, 15031.63, 62852.02, 20032.37, 93348.21
jp50, 18, 22, 45858.72, 73605.42, 10573.81, 93348.21
jp50, 19, 22, 65799.66, 79316.18, 6258.87, 93348.21
jp50, 20, 22, 74080.13, 82327.34, 5740.63, 93348.21
jp50, 21, 22, 75788.41, 84550.82, 5137.81, 94218.59
jp50, 22, 22, 80133.26, 87020.27, 4751.79, 103246.62
jp50, 23, 22, 82989.26, 89003.98, 4155.18, 103246.62
jp50, 24, 22, 84620.12, 90447.48, 3560.48, 103246.62
jp50, 25, 22, 86898.02, 91837.87, 2601.79, 103246.62
jp50, 26, 22, 89927.03, 92980.16, 2650.22, 103246.62
jp50, 27, 22, 90950.85, 94272.32, 3767.03, 116740.79
jp50, 28, 22, 91558.01, 96237.38, 5846.54, 121669.40
jp50, 29, 22, 92763.59, 98149.39, 6455.33, 121669.40
jp50, 30, 22, 93348.21, 100136.59, 7527.64, 121669.40
jp50, 31, 22, 93941.69, 103109.87, 7432.18, 121669.40
jp50, 32, 22, 96800.75, 106580.05, 7638.35, 121669.40
jp50, 33, 22, 99335.43, 110438.98, 7157.72, 122673.69
jp50, 34, 22, 103246.62, 113996.09, 5298.53, 122673.69
jp50, 35, 22, 108375.90, 115912.39, 3651.69, 122673.69
jp50, 36, 22, 112592.09, 117571.05, 2541.28, 122673.69
jp50, 37, 22, 115017.14, 118488.42, 2238.32, 122673.69
jp50, 38, 22, 115915.15, 119480.45, 2042.58, 124345.51
jp50, 39, 22, 117051.55, 120422.57, 1747.82, 124453.37
jp50, 40, 22, 118670.62, 121087.55, 1516.10, 124453.37
jp50, 41, 22, 119734.96, 121812.40, 1491.18, 126392.16
jp50, 42, 22, 119952.83, 122377.28, 1450.52, 126392.16
jp50, 43, 22, 121207.40, 123108.62, 1505.64, 128093.71
jp50, 44, 22, 121601.87, 123359.07, 1526.10, 128093.71
jp50, 45, 22, 121685.03, 123827.30, 1564.06, 128093.71
jp50, 46, 22, 122227.23, 124352.38, 1537.03, 128093.71
jp50, 47, 22, 123163.95, 125095.39, 1441.08, 128093.71
jp50, 48, 22, 123754.31, 125741.33, 1354.47, 128093.71
jp50, 49, 22, 124295.98, 126198.34, 1275.69, 128093.71
jp50, 50, 22, 124453.37, 126498.97, 1165.16, 128093.71
jp50, 51, 22, 124991.10, 126820.26, 1022.12, 128093.71
jp50, 52, 22, 125327.70, 127082.00, 885.23, 128093.71
jp50, 53, 22, 125813.34, 127403.68, 649.15, 128093.71
jp50, 54, 22, 126714.67, 127674.09, 400.05, 128222.24
jp50, 55, 22, 127078.49, 127817.25, 293.81, 128899.62
jp50, 0, 23, -935674.99, -556530.99, 129777.25, -0.00
jp50, 1, 23, -708965.61, -529465.07, 115307.25, -0.00
jp50, 2, 23, -686044.78, -514524.09, 110976.87, -0.00
jp50, 3, 23, -656617.28, -497334.36, 109585.20, -0.00
jp50, 4, 23, -617865.38, -470504.39, 107015.65, -0.00
jp50, 5, 23, -587823.24, -432031.75, 118663.84, 1730.84
jp50, 6, 23, -558117.80, -402090.15, 118530.37, 1730.84
jp50, 7, 23, -512170.59, -362596.64, 127743.31, 1730.84
jp50, 8, 23, -474778.19, -318059.57, 140197.46, 19131.44
jp50, 9, 23, -438878.56, -275718.07, 145889.12, 19131.44
jp50, 10, 23, -399619.00, -201315.30, 157496.79, 28403.52
jp50, 11, 23, -354098.29, -123482.60, 133217.64, 33261.48
jp50, 12, 23, -253576.43, -66529.88, 101535.41, 38339.87
jp50, 13, 23, -205839.30, -20462.80, 52311.28, 50114.91
jp50, 14, 23, -43635.46, 4754.71, 20862.89, 50114.91
jp50, 15, 23, -3851.69, 14291.03, 15621.99, 50114.91
jp50, 16, 23, -0.00, 20277.20, 16354.96, 51039.76
jp50, 17, 23, 1471.29, 28653.56, 17968.47, 114349.95
jp50, 18, 23, 10765.36, 36285.42, 16144.15, 114349.95
jp50, 19, 23, 27154.46, 46172.93, 15699.39, 114349.95
jp50, 20, 23, 33261.48, 52448.67, 15708.24, 114349.95
jp50, 21, 23, 39485.89, 57277.32, 15805.61, 114349.95
jp50, 22, 23, 42135.69, 65347.69, 15979.75, 114349.95
jp50, 23, 23, 50974.55, 75831.11, 15849.56, 120047.22
jp50, 24, 23, 63269.80, 83571.46, 15386.97, 120047.22
jp50, 25, 23, 70376.94, 88847.48, 15041.61, 120047.22
jp50, 26, 23, 76033.28, 94319.07, 14231.39, 120047.22
jp50, 27, 23, 80887.88, 98775.13, 12972.30, 120047.22
jp50, 28, 23, 84114.32, 103732.67, 11577.69, 120047.22
jp50, 29, 23, 86244.52, 106439.31, 9950.81, 120047.22
jp50, 30, 23, 94472.04, 110232.32, 6932.99, 120047.22
jp50, 31, 23, 102732.97, 113094.44, 4991.13, 120047.22
jp50, 32, 23, 104728.73, 114323.28, 4125.22, 120047.22
jp50, 33, 23, 108726.83, 115377.39, 3440.93, 120047.22
jp50, 34, 23, 111751.80, 116491.68, 2781.00, 120496.69
jp50, 35, 23, 113226.14, 117412.09, 2327.79, 120496.69
jp50, 36, 23, 114943.26, 118302.27, 1868.41, 120496.69
jp50, 37, 23, 115734.03, 119103.16, 1393.77, 122297.38
jp50, 38, 23, 117352.05, 119545.66, 1045.26, 122297.38
jp50, 39, 23, 117867.37, 119967.38, 719.42, 123209.96
jp50, 40, 23, 119699.31, 120335.01, 1349.81, 132421.70
jp50, 41, 23, 119896.54, 120866.54, 2624.91, 134743.67
jp50, 42, 23, 120047.22, 121218.89, 3045.44, 134743.67
jp50, 43, 23, 120047.22, 121734.86, 3594.35, 134743.67
jp50, 44, 23, 120047.22, 122243.26, 4017.43, 134743.67
jp50, 45, 23, 120047.22, 123428.90, 4968.75, 135925.26
jp50, 46, 23, 120047.22, 124758.31, 5524.32, 135925.26
jp50, 47, 23, 120496.69, 126745.61, 5631.71, 135925.26
jp50, 48, 23, 120496.69, 128438.15, 5295.15, 135925.26
jp50, 49, 23, 122297.38, 130169.31, 4468.57, 135925.26
jp50, 50, 23, 123562.38, 131846.13, 3177.50, 135925.26
jp50, 51, 23, 128423.61, 133066.12, 1773.92, 135925.26
jp50, 52, 23, 131723.94, 133676.26, 1462.27, 135925.26
jp50, 53, 23, 132421.70, 134138.64, 1407.86, 135925.26
jp50, 54, 23, 132580.58, 134714.44, 1238.00, 135925.26
jp50, 55, 23, 133008.86, 135067.98, 986.49, 135925.26
jp50, 56, 23, 133795.29, 135436.52, 568.27, 135925.26
jp50, 57, 23, 135077.33, 135677.81, 299.60, 135925.26
jp50, 0, 24, -859596.88, -564199.23, 137503.63, -0.00
jp50, 1, 24, -749738.99, -529709.78, 117739.28, -0.00
jp50, 2, 24, -663018.62, -496411.23, 108750.41, -0.00
jp50, 3, 24, -637958.74, -477238.88, 100926.83, -0.00
jp50, 4, 24, -601794.49, -449470.33, 91163.08, -0.00
jp50, 5, 24, -573936.23, -428772.05, 80320.10, -0.00
jp50, 6, 24, -548719.28, -419050.81, 75449.64, -0.00
jp50, 7, 24, -516239.96, -397770.29, 78925.84, -0.00
jp50, 8, 24, -499547.79, -381749.72, 82453.88, -0.00
jp50, 9, 24, -461876.39, -358737.05, 81885.94, -0.00
jp50, 10, 24, -431596.25, -350656.52, 78360.55, -0.00
jp50, 11, 24, -397739.62, -332463.01, 88968.96, -0.00
jp50, 12, 24, -386254.85, -309688.09, 106437.10, -0.00
jp50, 13, 24, -377539.74, -288745.76, 118806.47, -0.00
jp50, 14, 24, -367586.25, -271296.89, 128795.85, 13256.65
jp50, 15, 24, -349378.38, -211009.57, 149689.97, 20428.47
jp50, 16, 24, -328297.10, -154615.41, 152140.24, 23944.79
jp50, 17, 24, -315294.89, -100504.36, 140198.23, 34623.44
jp50, 18, 24, -296234.58, -40873.93, 95711.81, 34623.44
jp50, 19, 24, -26032.00, 7045.62, 12806.93, 47182.57
jp50, 20, 24, -0.00, 15073.92, 12140.33, 53686.36
jp50, 21, 24, -0.00, 19840.64, 13329.38, 56771.89
jp50, 22, 24, 8776.73, 24851.55, 12367.14, 56771.89
jp50, 23, 24, 13271.40, 31444.24, 13916.73, 70567.23
jp50, 24, 24, 19097.97, 37386.78, 14694.03, 79784.91
jp50, 25, 24, 23944.79, 43686.39, 13267.47, 79784.91
jp50, 26, 24, 30688.05, 49999.36, 12547.35, 79784.91
jp50, 27, 24, 37167.79, 57709.15, 11326.05, 86487.96
jp50, 28, 24, 48021.95, 62120.75, 10701.52, 92551.60
jp50, 29, 24, 51973.34, 66977.61, 10598.08, 97187.23
jp50, 30, 24, 56771.89, 72358.69, 9597.63, 97187.23
jp50, 31, 24, 62684.06, 76301.25, 10136.90, 119452.72
jp50, 32, 24, 69521.28, 81389.48, 10254.07, 119452.72
jp50, 33, 24, 73386.44, 85689.13, 10768.78, 119452.72
jp50, 34, 24, 76673.87, 89553.58, 10520.28, 127563.42
jp50, 35, 24, 80236.93, 94544.69, 11088.03, 127563.42
jp50, 36, 24, 85949.41, 100154.39, 10998.82, 127563.42
jp50, 37, 24, 90386.98, 104602.35, 10627.84, 127563.42
jp50, 38, 24, 94258.54, 109293.42, 9309.56, 127563.42
jp50, 39, 24, 97958.34, 113433.76, 7902.71, 127900.90
jp50, 40, 24, 105942.24, 116900.93, 6028.82, 127900.90
jp50, 41, 24, 110673.35, 119109.39, 4879.30, 127900.90
jp50, 42, 24, 113902.68, 121050.59, 4748.85, 135001.44
jp50, 43, 24, 116387.13, 122929.60, 4145.27, 135001.44
jp50, 44, 24, 118810.50, 123945.52, 3663.71, 135001.44
jp50, 45, 24, 119683.47, 124921.81, 3612.17, 136460.19
jp50, 46, 24, 121623.54, 126482.25, 3593.12, 136460.19
jp50, 47, 24, 122716.70, 127623.52, 3773.92, 137167.14
jp50, 48, 24, 124475.69, 129008.37, 3787.20, 137167.14
jp50, 49, 24, 125282.66, 130329.42, 3618.81, 137167.14
jp50, 50, 24, 126471.77, 131248.93, 3517.07, 137354.58
jp50, 51, 24, 127563.42, 132726.54, 3264.68, 138321.81
jp50, 52, 24, 129118.84, 134580.94, 2168.39, 138321.81
jp50, 53, 24, 132448.69, 135511.91, 1476.05, 138507.50
jp50, 54, 24, 134480.74, 136382.44, 1257.06, 138507.50
jp50, 55, 24, 134934.27, 136798.04, 1147.13, 139163.90
jp50, 56, 24, 135331.88, 137341.89, 1162.66, 143958.61
jp50, 57, 24, 136422.44, 137719.77, 969.50, 143958.61
jp50, 58, 24, 136646.24, 137931.28, 887.33, 143958.61
jp50, 59, 24, 137167.14, 138187.31, 886.07, 143958.61
jp50, 60, 24, 137422.58, 138395.42, 842.88, 143958.61
jp50, 61, 24, 137772.70, 138610.88, 978.55, 143958.61
jp50, 62, 24, 138064.12, 139032.39, 1431.27, 144457.93
jp50, 63, 24, 138254.07, 139264.99, 1585.74, 144698.81
jp50, 64, 24, 138321.81, 139558.53, 1825.50, 145052.75
jp50, 65, 24, 138330.00, 140210.85, 2140.61, 145052.75
jp50, 66, 24, 138507.50, 140845.22, 2284.04, 145052.75
jp50, 67, 24, 138808.05, 141769.06, 2294.69, 145052.75
jp50, 68, 24, 139163.90, 142476.97, 2116.60, 145052.75
jp50, 69, 24, 139348.29, 143160.00, 1713.97, 145052.75
jp50, 70, 24, 140720.47, 143846.35, 1137.27, 145052.75
jp50, 71, 24, 142194.26, 144191.86, 788.74, 145052.75
jp50, 72, 24, 143265.11, 144445.20, 505.27, 145052.75
jp50, 73, 24, 143721.93, 144626.34, 354.71, 145052.75
jp50, 0, 25, -911302.21, -560725.05, 144515.95, -0.00
jp50, 1, 25, -753292.27, -523481.38, 140355.06, -0.00
jp50, 2, 25, -701105.62, -498686.44, 132932.37, -0.00
jp50, 3, 25, -684815.99, -479537.14, 128356.96, -0.00
jp50, 4, 25, -626975.89, -444457.67, 133399.42, -0.00
jp50, 5, 25, -606956.26, -417822.83, 140152.90, 18343.64
jp50, 6, 25, -579125.85, -372195.00, 157257.21, 43422.15
jp50, 7, 25, -523458.83, -319769.96, 161953.22, 50679.56
jp50, 8, 25, -490096.44, -244208.76, 169722.58, 50679.56
jp50, 9, 25, -381908.97, -173727.94, 157452.02, 50679.56
jp50, 10, 25, -326101.49, -113967.04, 141684.76, 50679.56
jp50, 11, 25, -282288.79, -31695.29, 90066.41, 69086.67
jp50, 12, 25, -48995.91, 13663.33, 26706.15, 69086.67
jp50, 13, 25, -2896.85, 24239.22, 21801.44, 69086.67
jp50, 14, 25, 465.54, 35547.82, 19978.56, 74516.44
jp50, 15, 25, 19623.76, 46978.37, 13348.79, 74516.44
jp50, 16, 25, 31223.18, 53557.71, 11175.92, 99093.90
jp50, 17, 25, 42575.52, 57964.67, 10841.23, 99093.90
jp50, 18, 25, 49678.80, 63335.88, 10968.32, 99093.90
jp50, 19, 25, 56043.93, 67485.38, 10956.32, 99093.90
jp50, 20, 25, 59215.39, 71963.98, 11573.42, 104590.03
jp50, 21, 25, 59897.57, 75339.68, 11066.64, 106494.48
jp50, 22, 25, 64580.01, 78919.66, 10744.26, 106494.48
jp50, 23, 25, 68435.79, 83164.69, 11038.83, 112389.07
jp50, 24, 25, 73992.18, 88253.41, 10764.01, 113291.87
jp50, 25, 25, 77862.46, 93104.41, 9511.72, 113291.87
jp50, 26, 25, 84890.15, 98089.82, 8015.12, 122262.65
jp50, 27, 25, 90743.52, 101787.28, 7745.01, 122262.65
jp50, 28, 25, 93467.12, 104722.68, 7218.66, 122262.65
jp50, 29, 25, 98198.76, 107996.73, 6145.78, 122262.65
jp50, 30, 25, 103531.54, 111193.32, 5209.12, 122262.65
jp50, 31, 25, 105710.55, 113112.68, 4912.26, 123548.51
jp50, 32, 25, 108312.91, 114946.67, 4372.05, 123548.51
jp50, 33, 25, 110902.73, 116401.86, 4015.59, 123548.51
jp50, 34, 25, 112161.45, 118069.56, 3665.73, 124063.62
jp50, 35, 25, 113791.04, 119522.63, 3082.66, 129618.81
jp50, 36, 25, 116517.68, 121123.29, 2234.80, 129618.81
jp50, 37, 25, 119224.80, 122042.97, 2151.84, 129618.81
jp50, 38, 25, 119980.44, 122892.20, 2408.86, 129618.81
jp50, 39, 25, 120859.07, 124019.20, 2781.23, 129771.64
jp50, 40, 25, 121763.40, 124758.64, 2789.16, 129771.64
jp50, 41, 25, 122262.65, 125616.19, 2733.25, 129922.32
jp50, 42, 25, 122627.83, 126770.27, 2443.71, 130635.42
jp50, 43, 25, 123829.05, 127824.43, 1836.58, 130635.42
jp50, 44, 25, 125614.61, 128552.80, 1199.99, 130635.42
jp50, 45, 25, 127101.06, 128915.31, 946.27, 130639.26
jp50, 46, 25, 127716.45, 129273.29, 722.85, 130639.26
jp50, 47, 25, 128241.19, 129577.18, 665.00, 132333.00
jp50, 48, 25, 129164.04, 129911.48, 760.59, 132969.40
jp50, 49, 25, 129208.57, 130038.45, 786.99, 132969.40
jp50, 50, 25, 129394.45, 130230.54, 850.86, 132969.40
jp50, 51, 25, 129618.81, 130506.07, 959.52, 132969.40
jp50, 52, 25, 129665.23, 130758.61, 1019.24, 132969.40
jp50, 53, 25, 129670.02, 131089.24, 1097.07, 134772.99
jp50, 54, 25, 129922.32, 131482.49, 1019.75, 134772.99
jp50, 55, 25, 130584.97, 131920.08, 909.98, 134772.99
jp50, 56, 25, 130635.42, 132240.15, 1036.24, 138328.10
jp50, 57, 25, 131030.70, 132449.77, 1057.71, 138328.10
jp50, 58, 25, 131432.13, 132750.77, 1313.70, 138328.10
jp50, 59, 25, 132134.76, 133261.61, 1767.37, 138328.10
jp50, 60, 25, 132333.00, 133711.88, 2071.79, 138328.10
jp50, 61, 25, 132333.00, 134317.09, 2331.66, 138328.10
jp50, 62, 25, 132350.94, 134683.24, 2389.44, 138328.10
jp50, 63, 25, 132584.28, 135373.29, 2347.33, 138328.10
jp50, 64, 25, 132969.40, 136235.40, 2145.62, 138328.10
jp50, 65, 25, 133454.97, 137177.27, 1542.01, 138328.10
jp50, 66, 25, 134772.99, 137760.88, 729.14, 138328.10
jp50, 67, 25, 137211.46, 138020.09, 330.07, 138328.10
